city,country,station_id,station_name,lat,lon,elevation,distance_to_city_km,category,ndvi_mean,n_days,bias,mae,rmse,std_error,correlation,error_p05,error_p25,error_p50,error_p75,error_p95,mean_station_temp,mean_era5_temp,bias_Winter,rmse_Winter,n_days_Winter,bias_Spring,rmse_Spring,n_days_Spring,bias_Summer,rmse_Summer,n_days_Summer,bias_Fall,rmse_Fall,n_days_Fall,distance_to_coast_km
Berlin,DEU,4292,KLETTWITZ,51.55666666393748,13.886388888888892,128,110.28342100026744,Rural,0.5900590551181102,1461,-0.9696272978629256,1.2151395470046735,1.4953202518364248,1.1387243287315667,0.9935561551309237,-2.7900451660156236,-1.7415710449218746,-0.9852111816406257,-0.21508178710937642,0.848583984375,15.490828199863106,14.521199,-0.4595848189166379,1.0088139573921764,361,-1.1641523609990656,1.5894589904582945,368,-1.530937509951384,1.9773963473107807,368,-0.7113249726347871,1.2075264171870275,364,401.70153403856256
Berlin,DEU,4295,KLITZSCHEN BEI TORGAU,51.52027777504051,12.907777777777772,85,114.34254971752645,Rural,0.6181102362204725,1461,-1.1984658243230235,1.380256777116487,1.6393822254599393,1.118977556611182,0.9940678651706665,-2.933074951171875,-1.9502990722656257,-1.2253051757812514,-0.48612060546875036,0.674761962890625,15.874264202600958,14.675797,-0.5625076758894564,1.0613130687962382,361,-1.4116699384606404,1.777370902170084,368,-1.8195770595384682,2.1261494829121963,368,-0.9856989095499228,1.380638190176743,364,450.69090109503253
Berlin,DEU,4306,KOTHEN (ANHALT),51.75277777509146,12.009166666666664,76,126.63309588328762,Rural,0.5246062992125984,1382,-1.3340706500924273,1.531531437433577,1.838465500285851,1.2654523419531114,0.9924956407067641,-3.3005572509765617,-2.1901824951171873,-1.3552307128906245,-0.4816070556640626,0.7466665649414065,16.0260492040521,14.691978,-0.42660055820961734,1.0424475780679185,361,-1.769733362612517,2.139411308475779,368,-2.009670945669065,2.325317909846119,367,-1.0519990294129697,1.4604675236932032,286,490.03119858907826
Berlin,DEU,4318,KYRITZ,52.93805555311108,12.410555555555552,40,82.75572649551144,Rural,0.5959645669291338,1461,-0.9434448910608102,1.2064836881978311,1.4892348752475584,1.1526671925739724,0.9935943057612158,-2.7516906738281257,-1.719879150390625,-0.9127624511718757,-0.19347534179687642,0.8898132324218757,15.09034907597536,14.146904,-0.18010791556656858,0.8241839659535413,361,-1.2986430790113368,1.6773961211792674,368,-1.678133209891941,1.9942841327662502,368,-0.5986273461645777,1.1673107751907774,364,367.4223646037497
Berlin,DEU,4328,LANGENLIPSDORF,51.91833333068259,13.088888888888887,91,68.33560128689986,Rural,0.28149606299212593,1461,-0.7832243306436089,1.0824724660843386,1.3391644356320733,1.0866136381626705,0.9937624893653131,-2.5163330078124986,-1.477996826171875,-0.784149169921875,-0.08618774414062536,1.04671630859375,15.457494866529775,14.674271,-0.15954145183193386,0.8664879403019357,361,-1.0394005485202953,1.4592804222173883,368,-1.2119357399318529,1.616895805420408,368,-0.7093531011225103,1.287433325951096,364,402.50343543553055
Berlin,DEU,4344,LEIPZIG-HOLZHAUSEN,51.316388886105955,12.447500000000005,138,147.32333673208925,Rural,0.3159448818897638,1461,-1.0292473700991402,1.214978361554051,1.4413099992836267,1.0093174139691754,0.9939264084145217,-2.5344055175781257,-1.7048278808593764,-1.0516174316406257,-0.4429748535156257,0.7006958007812507,15.700889801505818,14.671642,-0.6917193045576524,1.1332221541103178,361,-1.2280851115351137,1.5779870487510046,368,-1.3362937429676887,1.6890913603945064,368,-0.852550330528846,1.289432874772058,364,497.4515135932566
Berlin,DEU,4349,LENZEN/ELBE,53.10249999758686,11.487777777777778,20,145.3966951919739,Rural,0.484744094488189,1461,-1.0827306393643588,1.2836100887060982,1.5894814841682576,1.1640761350466589,0.9929290495453004,-2.9781066894531243,-1.908111572265625,-1.0085815429687486,-0.2736633300781257,0.655792236328125,15.267077344284736,14.184348,-0.3384840524097559,0.9005482186328302,361,-1.569675014329993,1.927448623153606,368,-1.8526203321373982,2.1113054547081713,368,-0.5501978947566106,1.0362084518096841,364,443.11404645252276
Berlin,DEU,4363,BARUTH,52.061944441824046,13.502777777777778,55,49.403867720799084,Rural,0.4936023622047244,1450,-1.176834468446929,1.39479642460264,1.6786779929511755,1.1975013193732396,0.9926055239994226,-3.023539123535157,-2.0242660522460945,-1.189544677734375,-0.38930053710937607,0.8522180175781248,15.776137931034484,14.599303,-0.5553874092419062,1.1599839399305203,361,-1.5667430085158416,1.9334722889630898,361,-1.6953418270572203,2.0500324049699103,364,-0.8879573444743734,1.407401409234133,364,366.028198836084
Berlin,DEU,4370,LUBBEN-BLUMENFELDE,51.92805555290684,13.881944444444448,57,71.76159559364652,Rural,0.5969488188976377,1461,-1.0886702540800393,1.3373385847797956,1.65045843015853,1.2409126025181587,0.9924187021420278,-3.1551452636718764,-1.8996520996093764,-1.0548034667968764,-0.295501708984375,0.944793701171875,15.83264887063655,14.7439785,-0.405761346790599,0.9639499813765947,361,-1.3165800177532694,1.7721984023437727,368,-1.824503110802692,2.26811250800468,368,-0.7916175926124657,1.2790085351080893,364,362.8679965477255
Berlin,DEU,4386,MANSCHNOW,52.54805555303477,14.547500000000001,12,77.90353957952415,Rural,0.45029527559055116,1461,-1.0507303038172164,1.2650804419129127,1.5217899162154913,1.1011995209058947,0.9934263780133326,-2.7273193359375014,-1.7776062011718743,-1.1223327636718752,-0.3967346191406236,0.7598144531249993,15.505475701574264,14.454745,-0.5540806989590548,1.1284533346839545,361,-1.4255710270093835,1.7923451973635127,368,-1.4823421478271486,1.8001555614889697,368,-0.7279719593760733,1.2281300082588988,364,276.7617075077143
Berlin,DEU,4430,MUNCHEBERG,52.51888888636227,14.125,63,49.118429781194905,Rural,0.5437992125984252,1461,-0.7505786934917223,1.0675559334360027,1.3027981602281562,1.0652189094521798,0.9936056981476117,-2.347259521484375,-1.4333862304687486,-0.8066284179687502,-0.142791748046875,1.069610595703125,14.985831622176594,14.235253,-0.3453333635409453,1.0623383140582952,361,-1.080395441469939,1.5374887434501774,368,-1.0761795873227327,1.4382063737099127,368,-0.4898640559269832,1.100985583861968,364,292.02784420425985
Berlin,DEU,4439,BAD MUSKAU,51.56749999727316,14.700555555555548,125,136.90886903868122,Rural,0.4852362204724409,1461,-1.0584660733096978,1.3073333677569943,1.5757688835425616,1.167745905667369,0.9933761675470217,-2.912353515625,-1.82110595703125,-1.0606018066406246,-0.3394592285156248,0.937188720703125,15.481314168377823,14.422848,-0.5356906034939837,1.0911400222294516,361,-1.1193001622739047,1.6270934064211533,368,-1.6307522317637568,2.0171393675591522,368,-0.9368553413139595,1.412598516935601,364,382.45457519772725
